"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"33740","33740","40th  / Airport - Gateway Park Station","Vehicles Travelling North","39.76983","-104.785452",,,"1",,,"0"
"33899","33899","Belleview","Vehicles Travelling ","39.624023","-104.891007",,,"0",,,"1"
"26190","26190","Arapahoe at Village Center Station Gate F","Vehicles Travelling North","39.601459","-104.888034",,,"0","33705",,"1"
"33701","33701","Civic Center Station","Vehicles Travelling North","39.740986","-104.986849",,,"1",,,"0"
"33891","33891","Federal Heights","Vehicles Travelling ","39.870106","-105.006772",,,"0",,,"1"
"33843","33843","Southwest Plaza","Vehicles Travelling North","39.613689","-105.091964",,,"1",,,"0"
"34893","34893","Superior","Vehicles Travelling ","39.95769","-105.169162",,,"0",,,"1"
"33649","33649","Federal Center Station Gate B","Vehicles Travelling West","39.719828","-105.128205",,,"0","33741",,"1"
"26313","26313","County Line Station Gate B","Vehicles Travelling East","39.561862","-104.870092",,,"0","33709",,"1"
"33714","33714","Lincoln Station","Vehicles Travelling North","39.546147","-104.869738",,,"1",,,"0"
"33809","33809","Evergreen","Vehicles Travelling North","39.639149","-105.332193",,,"1",,,"0"
"33810","33810","Genesee Park","Vehicles Travelling North","39.711016","-105.294117",,,"1",,,"0"
"33833","33833","Olde Town Arvada","Vehicles Travelling North","39.798974","-105.078976",,,"1",,,"0"
"34114","34114","16th Street / California Station","Vehicles Travelling North","39.744864","-104.992508",,,"1",,,"0"
"33850","33850","US 85 / Bridge St","Vehicles Travelling North","39.984264","-104.823496",,,"1",,,"0"
"34129","34129","106th / Melody","Vehicles Travelling North","39.888698","-104.995115",,,"1",,,"0"
"33894","33894","Louisville","Vehicles Travelling ","39.961844","-105.166505",,,"0",,,"1"
"33900","33900","Dry Creek","Vehicles Travelling ","39.580662","-104.900508",,,"0",,,"1"
"35348","35348","Delaware St & W 146th Ave","Vehicles Travelling North","39.960077","-104.99015",,,"0",,,"1"
"33705","33705","Arapahoe at Village Center Station","Vehicles Travelling North","39.601315","-104.887494",,,"1",,,"0"
"33788","33788","39th St / Table Mesa","Vehicles Travelling North","39.985522","-105.248455",,,"1",,,"0"
"33896","33896","Thornton/Northglenn","Vehicles Travelling North","39.921579","-104.962164",,,"0",,,"1"
"33893","33893","Broomfield","Vehicles Travelling ","39.923692","-105.075206",,,"0",,,"1"
"33902","33902","Lone Tree","Vehicles Travelling ","39.548315","-104.894618",,,"0",,,"1"
"33890","33890","South Jeffco","Vehicles Travelling ","39.614346","-105.093146",,,"0",,,"1"
"34142","34142","Golden","Vehicles Travelling North","39.757518","-105.222901",,,"1",,,"0"
"26346","26346","Dry Creek Station Gate C","Vehicles Travelling West","39.578883","-104.873712",,,"0","33711",,"1"
"34111","34111","Empower Field at Mile High","Vehicles Travelling North","39.743181","-105.013483",,,"1",,,"0"
"33834","33834","Olympic Park","Vehicles Travelling North","39.667301","-104.807628",,,"1",,,"0"
"34679","34679","Florida Station","Vehicles Travelling North","39.689917","-104.828099",,,"1",,,"0"
"33838","33838","Pinery","Vehicles Travelling North","39.457477","-104.756527",,,"1",,,"0"
"34145","34145","Race / Davies","Vehicles Travelling North","39.590816","-104.965729",,,"1",,,"0"
