"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
"117N","FR","115878557","Union Station","1"," 117  2","1334013"
"117N","SA","115878687","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878682","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878693","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878721","Union Station","1"," 117  1","1334013"
"117N","SA","115878725","Union Station","1"," 117  2","1334013"
"117N","SA","115878738","Union Station","1"," 117  2","1334013"
"117N","SA","115878743","Union Station","1"," 117  2","1334013"
"117N","SU","115878756","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878759","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878762","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878771","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878784","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878782","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878773","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878815","Union Station","1"," 117  1","1334013"
"117N","SU","115878823","Union Station","1"," 117  1","1334013"
"117N","SU","115878811","Union Station","1"," 117  3","1334013"
"117N","MT","115878622","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878623","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878588","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878634","Union Station","1"," 117  1","1334013"
"117N","MT","115878668","Union Station","1"," 117  2","1334013"
"117N","MT","115878638","Union Station","1"," 117  2","1334013"
"117N","MT","115878633","Union Station","1"," 117  3","1334013"
"117N","MT","115878639","Union Station","1"," 117  3","1334013"
"117N","FR","115878525","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878513","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878568","Union Station","1"," 117  1","1334013"
"117N","FR","115878580","Union Station","1"," 117  1","1334013"
"117N","FR","115878569","Union Station","1"," 117  2","1334013"
"117N","SA","115878694","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878692","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878695","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878685","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878675","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878730","Union Station","1"," 117  1","1334013"
"117N","SA","115878716","Union Station","1"," 117  3","1334013"
"117N","SA","115878723","Union Station","1"," 117  3","1334013"
"117N","SA","115878741","Union Station","1"," 117  3","1334013"
"117N","SU","115878787","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878790","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878774","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878785","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878788","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878755","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878767","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878806","Union Station","1"," 117  1","1334013"
"117N","SU","115878825","Union Station","1"," 117  3","1334013"
"117N","MT","115878600","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878603","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878606","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878587","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878614","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878655","Union Station","1"," 117  1","1334013"
"117N","MT","115878629","Union Station","1"," 117  2","1334013"
"117N","MT","115878643","Union Station","1"," 117  2","1334013"
"117N","MT","115878642","Union Station","1"," 117  3","1334013"
"117N","MT","115878644","Union Station","1"," 117  3","1334013"
"117N","FR","115878539","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878500","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878509","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878528","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878529","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878507","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878505","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878514","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878544","Union Station","1"," 117  1","1334013"
"117N","FR","115878547","Union Station","1"," 117  1","1334013"
"117N","FR","115878559","Union Station","1"," 117  1","1334013"
"117N","FR","115878570","Union Station","1"," 117  3","1334013"
"117N","FR","115878573","Union Station","1"," 117  3","1334013"
"117N","SA","115878708","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878704","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878669","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878736","Union Station","1"," 117  1","1334013"
"117N","SA","115878719","Union Station","1"," 117  2","1334013"
"117N","SA","115878735","Union Station","1"," 117  3","1334013"
"117N","SU","115878766","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878769","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878813","Union Station","1"," 117  2","1334013"
"117N","SU","115878824","Union Station","1"," 117  2","1334013"
"117N","SU","115878792","Union Station","1"," 117  2","1334013"
"117N","SU","115878819","Union Station","1"," 117  3","1334013"
"117N","SU","115878822","Union Station","1"," 117  3","1334013"
"117N","MT","115878609","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878612","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878598","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878610","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878608","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878591","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878628","Union Station","1"," 117  1","1334013"
"117N","MT","115878631","Union Station","1"," 117  1","1334013"
"117N","MT","115878641","Union Station","1"," 117  2","1334013"
"117N","MT","115878654","Union Station","1"," 117  3","1334013"
"117N","FR","115878506","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878530","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878541","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878572","Union Station","1"," 117  2","1334013"
"117N","FR","115878577","Union Station","1"," 117  2","1334013"
"117N","FR","115878546","Union Station","1"," 117  3","1334013"
"117N","FR","115878552","Union Station","1"," 117  3","1334013"
"117N","FR","115878555","Union Station","1"," 117  3","1334013"
"117N","FR","115878578","Union Station","1"," 117  3","1334013"
"117N","SA","115878681","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878700","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878703","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878677","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878690","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878724","Union Station","1"," 117  1","1334013"
"117N","SA","115878731","Union Station","1"," 117  2","1334013"
"117N","SA","115878749","Union Station","1"," 117  2","1334013"
"117N","SA","115878720","Union Station","1"," 117  3","1334013"
"117N","SA","115878750","Union Station","1"," 117  3","1334013"
"117N","SU","115878753","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878764","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878826","Union Station","1"," 117  1","1334013"
"117N","SU","115878798","Union Station","1"," 117  2","1334013"
"117N","SU","115878818","Union Station","1"," 117  2","1334013"
"117N","SU","115878821","Union Station","1"," 117  2","1334013"
"117N","SU","115878799","Union Station","1"," 117  3","1334013"
"117N","SU","115878802","Union Station","1"," 117  3","1334013"
"117N","MT","115878586","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878601","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878613","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878590","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878653","Union Station","1"," 117  2","1334013"
"117N","MT","115878645","Union Station","1"," 117  3","1334013"
"117N","MT","115878630","Union Station","1"," 117  3","1334013"
"117N","FR","115878499","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878522","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878501","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878538","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878508","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878511","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878567","Union Station","1"," 117  3","1334013"
"117N","SA","115878679","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878689","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878688","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878707","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878714","Union Station","1"," 117  1","1334013"
"117N","SA","115878727","Union Station","1"," 117  1","1334013"
"117N","SA","115878722","Union Station","1"," 117  2","1334013"
"117N","SA","115878740","Union Station","1"," 117  2","1334013"
"117N","SA","115878726","Union Station","1"," 117  3","1334013"
"117N","SA","115878732","Union Station","1"," 117  3","1334013"
"117N","SU","115878763","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878809","Union Station","1"," 117  1","1334013"
"117N","SU","115878801","Union Station","1"," 117  2","1334013"
"117N","SU","115878805","Union Station","1"," 117  3","1334013"
"117N","SU","115878814","Union Station","1"," 117  3","1334013"
"117N","SU","115878793","Union Station","1"," 117  3","1334013"
"117N","MT","115878615","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878607","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878667","Union Station","1"," 117  1","1334013"
"117N","MT","115878652","Union Station","1"," 117  1","1334013"
"117N","MT","115878666","Union Station","1"," 117  2","1334013"
"117N","MT","115878632","Union Station","1"," 117  2","1334013"
"117N","MT","115878648","Union Station","1"," 117  3","1334013"
"117N","FR","115878527","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878537","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878540","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878504","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878535","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878571","Union Station","1"," 117  1","1334013"
"117N","FR","115878545","Union Station","1"," 117  2","1334013"
"117N","FR","115878551","Union Station","1"," 117  2","1334013"
"117N","FR","115878556","Union Station","1"," 117  1","1334013"
"117N","FR","115878560","Union Station","1"," 117  2","1334013"
"117N","FR","115878558","Union Station","1"," 117  3","1334013"
"117N","FR","115878576","Union Station","1"," 117  3","1334013"
"117N","SA","115878676","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878684","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878709","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878674","124th - Eastlake","0"," 117  2","1334007"
"117N","SA","115878686","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878748","Union Station","1"," 117  1","1334013"
"117N","SA","115878734","Union Station","1"," 117  2","1334013"
"117N","SA","115878746","Union Station","1"," 117  2","1334013"
"117N","SA","115878737","Union Station","1"," 117  3","1334013"
"117N","SU","115878789","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878768","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878781","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878760","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878772","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878758","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878803","Union Station","1"," 117  1","1334013"
"117N","SU","115878820","Union Station","1"," 117  1","1334013"
"117N","SU","115878810","Union Station","1"," 117  2","1334013"
"117N","SU","115878827","Union Station","1"," 117  2","1334013"
"117N","SU","115878816","Union Station","1"," 117  3","1334013"
"117N","MT","115878616","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878599","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878617","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878620","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878640","Union Station","1"," 117  1","1334013"
"117N","MT","115878659","Union Station","1"," 117  1","1334013"
"117N","MT","115878636","Union Station","1"," 117  3","1334013"
"117N","MT","115878651","Union Station","1"," 117  3","1334013"
"117N","FR","115878524","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878536","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878534","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878531","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878502","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878562","Union Station","1"," 117  1","1334013"
"117N","FR","115878565","Union Station","1"," 117  1","1334013"
"117N","FR","115878548","Union Station","1"," 117  2","1334013"
"117N","FR","115878554","Union Station","1"," 117  2","1334013"
"117N","FR","115878563","Union Station","1"," 117  2","1334013"
"117N","FR","115878575","Union Station","1"," 117  2","1334013"
"117N","SA","115878702","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878705","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878691","124th - Eastlake","0"," 117  1","1334007"
"117N","SA","115878701","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878710","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878678","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878680","124th - Eastlake","0"," 117  3","1334007"
"117N","SA","115878742","Union Station","1"," 117  1","1334013"
"117N","SA","115878745","Union Station","1"," 117  1","1334013"
"117N","SA","115878715","Union Station","1"," 117  2","1334013"
"117N","SA","115878747","Union Station","1"," 117  3","1334013"
"117N","SU","115878780","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878783","124th - Eastlake","0"," 117  1","1334007"
"117N","SU","115878757","124th - Eastlake","0"," 117  2","1334007"
"117N","SU","115878761","124th - Eastlake","0"," 117  3","1334007"
"117N","SU","115878800","Union Station","1"," 117  1","1334013"
"117N","SU","115878807","Union Station","1"," 117  2","1334013"
"117N","MT","115878621","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878624","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878589","124th - Eastlake","0"," 117  1","1334007"
"117N","MT","115878604","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878626","124th - Eastlake","0"," 117  2","1334007"
"117N","MT","115878602","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878605","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878611","124th - Eastlake","0"," 117  3","1334007"
"117N","MT","115878665","Union Station","1"," 117  1","1334013"
"117N","MT","115878637","Union Station","1"," 117  1","1334013"
"117N","MT","115878635","Union Station","1"," 117  2","1334013"
"117N","MT","115878656","Union Station","1"," 117  2","1334013"
"117N","MT","115878663","Union Station","1"," 117  3","1334013"
"117N","FR","115878503","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878512","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878521","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878533","124th - Eastlake","0"," 117  1","1334007"
"117N","FR","115878510","124th - Eastlake","0"," 117  2","1334007"
"117N","FR","115878526","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878532","124th - Eastlake","0"," 117  3","1334007"
"117N","FR","115878553","Union Station","1"," 117  1","1334013"
"117N","FR","115878566","Union Station","1"," 117  2","1334013"
"117N","FR","115878549","Union Station","1"," 117  3","1334013"
"117N","FR","115878561","Union Station","1"," 117  3","1334013"
"117N","FR","115878564","Union Station","1"," 117  3","1334013"
